[pn2401379.lanl.gov:71813] shmem: mmap: an error occurred while determining whether or not /var/folders/36/xt3jx8554vj0_03sz682d5_800074q/T//ompi.pn2401379.7319/jf.0/2451701760/sm_segment.pn2401379.7319.92220000.0 could be created.
InputConverter-u   |   Writing the translated XML to amanzi_infiltration_clay_sand_1d-u_native.xml
CycleDriver        |  
CycleDriver        |  Cycle 257: time = 12.4833 d, dt = 1.09564 h
CycleDriver        |  New time = 12.529 d
CycleDriver        |  
CycleDriver        |  Cycle 258: time = 12.529 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=4.3714e+14 ||du_tmp0||=10718.3
CycleDriver        |  
CycleDriver        |  Cycle 258: time = 12.529 d, dt = 1.09564 h
CycleDriver        |  New time = 12.5746 d
CycleDriver        |  
CycleDriver        |  Cycle 259: time = 12.5746 d, dt = 1.36955 h
CycleDriver        |  New time = 12.6317 d
CycleDriver        |  
CycleDriver        |  Cycle 260: time = 12.6317 d, dt = 1.36955 h
Solver::NKA        |   teminating due to l2-norm overflow: ||r||=4.42423e+08 ||r0||=0.0373868
CycleDriver        |  
CycleDriver        |  Cycle 260: time = 12.6317 d, dt = 1.09564 h
CycleDriver        |  New time = 12.6773 d
CycleDriver        |  
CycleDriver        |  Cycle 261: time = 12.6773 d, dt = 1.09564 h
CycleDriver        |  New time = 12.723 d
CycleDriver        |  
CycleDriver        |  Cycle 262: time = 12.723 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.97312e+14 ||du_tmp0||=13442.8
CycleDriver        |  
CycleDriver        |  Cycle 262: time = 12.723 d, dt = 1.09564 h
CycleDriver        |  New time = 12.7686 d
CycleDriver        |  
CycleDriver        |  Cycle 263: time = 12.7686 d, dt = 1.09564 h
CycleDriver        |  New time = 12.8143 d
CycleDriver        |  
CycleDriver        |  Cycle 264: time = 12.8143 d, dt = 1.36955 h
CycleDriver        |  
CycleDriver        |  Cycle 264: time = 12.8143 d, dt = 1.09564 h
CycleDriver        |  New time = 12.86 d
CycleDriver        |  
CycleDriver        |  Cycle 265: time = 12.86 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.32955e+15 ||du_tmp0||=10376.4
CycleDriver        |  
CycleDriver        |  Cycle 265: time = 12.86 d, dt = 1.09564 h
CycleDriver        |  New time = 12.9056 d
CycleDriver        |  
CycleDriver        |  Cycle 266: time = 12.9056 d, dt = 1.36955 h
CycleDriver        |  
CycleDriver        |  Cycle 266: time = 12.9056 d, dt = 1.09564 h
CycleDriver        |  New time = 12.9513 d
CycleDriver        |  
CycleDriver        |  Cycle 267: time = 12.9513 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.44702e+15 ||du_tmp0||=13038.4
CycleDriver        |  
CycleDriver        |  Cycle 267: time = 12.9513 d, dt = 1.09564 h
CycleDriver        |  New time = 12.9969 d
CycleDriver        |  
CycleDriver        |  Cycle 268: time = 12.9969 d, dt = 1.09564 h
CycleDriver        |  New time = 13.0426 d
CycleDriver        |  
CycleDriver        |  Cycle 269: time = 13.0426 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.72546e+24 ||du_tmp0||=13774.1
CycleDriver        |  
CycleDriver        |  Cycle 269: time = 13.0426 d, dt = 1.09564 h
CycleDriver        |  New time = 13.0882 d
CycleDriver        |  
CycleDriver        |  Cycle 270: time = 13.0882 d, dt = 1.09564 h
CycleDriver        |  New time = 13.1339 d
CycleDriver        |  
CycleDriver        |  Cycle 271: time = 13.1339 d, dt = 1.36955 h
CycleDriver        |  New time = 13.1909 d
CycleDriver        |  
CycleDriver        |  Cycle 272: time = 13.1909 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.01163e+18 ||du_tmp0||=9992.23
CycleDriver        |  
CycleDriver        |  Cycle 272: time = 13.1909 d, dt = 1.09564 h
CycleDriver        |  New time = 13.2366 d
CycleDriver        |  
CycleDriver        |  Cycle 273: time = 13.2366 d, dt = 1.09564 h
CycleDriver        |  New time = 13.2822 d
CycleDriver        |  
CycleDriver        |  Cycle 274: time = 13.2822 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=9.01676e+14 ||du_tmp0||=12449
CycleDriver        |  
CycleDriver        |  Cycle 274: time = 13.2822 d, dt = 1.09564 h
CycleDriver        |  New time = 13.3279 d
CycleDriver        |  
CycleDriver        |  Cycle 275: time = 13.3279 d, dt = 1.09564 h
CycleDriver        |  New time = 13.3735 d
CycleDriver        |  
CycleDriver        |  Cycle 276: time = 13.3735 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.44652e+14 ||du_tmp0||=13751.8
CycleDriver        |  
CycleDriver        |  Cycle 276: time = 13.3735 d, dt = 1.09564 h
CycleDriver        |  New time = 13.4192 d
CycleDriver        |  
CycleDriver        |  Cycle 277: time = 13.4192 d, dt = 1.09564 h
CycleDriver        |  New time = 13.4648 d
CycleDriver        |  
CycleDriver        |  Cycle 278: time = 13.4648 d, dt = 1.36955 h
CycleDriver        |  New time = 13.5219 d
CycleDriver        |  
CycleDriver        |  Cycle 279: time = 13.5219 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=5.46815e+17 ||du_tmp0||=9261.07
CycleDriver        |  
CycleDriver        |  Cycle 279: time = 13.5219 d, dt = 1.09564 h
CycleDriver        |  New time = 13.5676 d
CycleDriver        |  
CycleDriver        |  Cycle 280: time = 13.5676 d, dt = 1.09564 h
CycleDriver        |  New time = 13.6132 d
CycleDriver        |  
CycleDriver        |  Cycle 281: time = 13.6132 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.23555e+15 ||du_tmp0||=12014
CycleDriver        |  
CycleDriver        |  Cycle 281: time = 13.6132 d, dt = 1.09564 h
CycleDriver        |  New time = 13.6589 d
CycleDriver        |  
CycleDriver        |  Cycle 282: time = 13.6589 d, dt = 1.09564 h
CycleDriver        |  New time = 13.7045 d
CycleDriver        |  
CycleDriver        |  Cycle 283: time = 13.7045 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.59691e+14 ||du_tmp0||=13690.2
CycleDriver        |  
CycleDriver        |  Cycle 283: time = 13.7045 d, dt = 1.09564 h
CycleDriver        |  New time = 13.7502 d
CycleDriver        |  
CycleDriver        |  Cycle 284: time = 13.7502 d, dt = 1.09564 h
CycleDriver        |  New time = 13.7958 d
CycleDriver        |  
CycleDriver        |  Cycle 285: time = 13.7958 d, dt = 1.36955 h
CycleDriver        |  New time = 13.8529 d
CycleDriver        |  
CycleDriver        |  Cycle 286: time = 13.8529 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.72898e+17 ||du_tmp0||=8526.68
CycleDriver        |  
CycleDriver        |  Cycle 286: time = 13.8529 d, dt = 1.09564 h
CycleDriver        |  New time = 13.8985 d
CycleDriver        |  
CycleDriver        |  Cycle 287: time = 13.8985 d, dt = 1.09564 h
CycleDriver        |  New time = 13.9442 d
CycleDriver        |  
CycleDriver        |  Cycle 288: time = 13.9442 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.98791e+14 ||du_tmp0||=11525.9
CycleDriver        |  
CycleDriver        |  Cycle 288: time = 13.9442 d, dt = 1.09564 h
CycleDriver        |  New time = 13.9898 d
CycleDriver        |  
CycleDriver        |  Cycle 289: time = 13.9898 d, dt = 1.09564 h
CycleDriver        |  New time = 14.0355 d
CycleDriver        |  
CycleDriver        |  Cycle 290: time = 14.0355 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=5.93661e+14 ||du_tmp0||=13562
CycleDriver        |  
CycleDriver        |  Cycle 290: time = 14.0355 d, dt = 1.09564 h
CycleDriver        |  New time = 14.0811 d
CycleDriver        |  
CycleDriver        |  Cycle 291: time = 14.0811 d, dt = 1.09564 h
CycleDriver        |  New time = 14.1268 d
CycleDriver        |  
CycleDriver        |  Cycle 292: time = 14.1268 d, dt = 1.36955 h
CycleDriver        |  
CycleDriver        |  Cycle 292: time = 14.1268 d, dt = 1.09564 h
CycleDriver        |  New time = 14.1724 d
CycleDriver        |  
CycleDriver        |  Cycle 293: time = 14.1724 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=4.64386e+14 ||du_tmp0||=10096.8
CycleDriver        |  
CycleDriver        |  Cycle 293: time = 14.1724 d, dt = 1.09564 h
CycleDriver        |  New time = 14.2181 d
CycleDriver        |  
CycleDriver        |  Cycle 294: time = 14.2181 d, dt = 1.36955 h
CycleDriver        |  New time = 14.2752 d
CycleDriver        |  
CycleDriver        |  Cycle 295: time = 14.2752 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=6.88387e+19 ||du_tmp0||=11514.3
CycleDriver        |  
CycleDriver        |  Cycle 295: time = 14.2752 d, dt = 1.09564 h
CycleDriver        |  New time = 14.3208 d
CycleDriver        |  
CycleDriver        |  Cycle 296: time = 14.3208 d, dt = 1.09564 h
CycleDriver        |  New time = 14.3665 d
CycleDriver        |  
CycleDriver        |  Cycle 297: time = 14.3665 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=4.00617e+16 ||du_tmp0||=13192.4
CycleDriver        |  
CycleDriver        |  Cycle 297: time = 14.3665 d, dt = 1.09564 h
CycleDriver        |  New time = 14.4121 d
CycleDriver        |  
CycleDriver        |  Cycle 298: time = 14.4121 d, dt = 1.09564 h
CycleDriver        |  New time = 14.4578 d
CycleDriver        |  
CycleDriver        |  Cycle 299: time = 14.4578 d, dt = 1.36955 h
CycleDriver        |  
CycleDriver        |  Cycle 299: time = 14.4578 d, dt = 1.09564 h
CycleDriver        |   writing visualization file: domain
CycleDriver        |  New time = 14.5034 d
CycleDriver        |  
CycleDriver        |  Simulation end time: 3.15576e+11 sec.
CycleDriver        |  CPU time stamp: [00:00:10]
CycleDriver        |  
CycleDriver        |  Cycle 300: time = 14.5034 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=9.65832e+16 ||du_tmp0||=9370.36
CycleDriver        |  
CycleDriver        |  Simulation end time: 3.15576e+11 sec.
CycleDriver        |  CPU time stamp: [00:00:11]
CycleDriver        |  
CycleDriver        |  Cycle 300: time = 14.5034 d, dt = 1.09564 h
CycleDriver        |  New time = 14.5491 d
CycleDriver        |  
CycleDriver        |  Cycle 301: time = 14.5491 d, dt = 1.09564 h
CycleDriver        |  New time = 14.5947 d
CycleDriver        |  
CycleDriver        |  Cycle 302: time = 14.5947 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.85843e+15 ||du_tmp0||=12490.3
CycleDriver        |  
CycleDriver        |  Cycle 302: time = 14.5947 d, dt = 1.09564 h
CycleDriver        |  New time = 14.6404 d
CycleDriver        |  
CycleDriver        |  Cycle 303: time = 14.6404 d, dt = 1.09564 h
CycleDriver        |  New time = 14.686 d
CycleDriver        |  
CycleDriver        |  Cycle 304: time = 14.686 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.2519e+14 ||du_tmp0||=13778
CycleDriver        |  
CycleDriver        |  Cycle 304: time = 14.686 d, dt = 1.09564 h
CycleDriver        |  New time = 14.7317 d
CycleDriver        |  
CycleDriver        |  Cycle 305: time = 14.7317 d, dt = 1.09564 h
CycleDriver        |  New time = 14.7773 d
CycleDriver        |  
CycleDriver        |  Cycle 306: time = 14.7773 d, dt = 1.36955 h
CycleDriver        |  New time = 14.8344 d
CycleDriver        |  
CycleDriver        |  Cycle 307: time = 14.8344 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.41207e+17 ||du_tmp0||=8902.93
CycleDriver        |  
CycleDriver        |  Cycle 307: time = 14.8344 d, dt = 1.09564 h
CycleDriver        |  New time = 14.88 d
CycleDriver        |  
CycleDriver        |  Cycle 308: time = 14.88 d, dt = 1.09564 h
CycleDriver        |  New time = 14.9257 d
CycleDriver        |  
CycleDriver        |  Cycle 309: time = 14.9257 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=5.42003e+14 ||du_tmp0||=11772.9
CycleDriver        |  
CycleDriver        |  Cycle 309: time = 14.9257 d, dt = 1.09564 h
CycleDriver        |  New time = 14.9713 d
CycleDriver        |  
CycleDriver        |  Cycle 310: time = 14.9713 d, dt = 1.09564 h
CycleDriver        |  New time = 15.017 d
CycleDriver        |  
CycleDriver        |  Cycle 311: time = 15.017 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.95664e+18 ||du_tmp0||=13634.5
CycleDriver        |  
CycleDriver        |  Cycle 311: time = 15.017 d, dt = 1.09564 h
CycleDriver        |  New time = 15.0626 d
CycleDriver        |  
CycleDriver        |  Cycle 312: time = 15.0626 d, dt = 1.09564 h
CycleDriver        |  New time = 15.1083 d
CycleDriver        |  
CycleDriver        |  Cycle 313: time = 15.1083 d, dt = 1.36955 h
Solver::NKA        |   Solver is diverging repeatedly, terminating...
CycleDriver        |  
CycleDriver        |  Cycle 313: time = 15.1083 d, dt = 1.09564 h
CycleDriver        |  New time = 15.1539 d
CycleDriver        |  
CycleDriver        |  Cycle 314: time = 15.1539 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=8.12337e+17 ||du_tmp0||=10396.7
CycleDriver        |  
CycleDriver        |  Cycle 314: time = 15.1539 d, dt = 1.09564 h
CycleDriver        |  New time = 15.1996 d
CycleDriver        |  
CycleDriver        |  Cycle 315: time = 15.1996 d, dt = 1.36955 h
Solver::NKA        |   terminating due to overflow ||du||=14482.9, ||du_prev||=0.533787
CycleDriver        |  
CycleDriver        |  Cycle 315: time = 15.1996 d, dt = 1.09564 h
CycleDriver        |  New time = 15.2453 d
CycleDriver        |  
CycleDriver        |  Cycle 316: time = 15.2453 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.0974e+16 ||du_tmp0||=13037.8
CycleDriver        |  
CycleDriver        |  Cycle 316: time = 15.2453 d, dt = 1.09564 h
CycleDriver        |  New time = 15.2909 d
CycleDriver        |  
CycleDriver        |  Cycle 317: time = 15.2909 d, dt = 1.09564 h
CycleDriver        |  New time = 15.3366 d
CycleDriver        |  
CycleDriver        |  Cycle 318: time = 15.3366 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.45919e+24 ||du_tmp0||=13787
CycleDriver        |  
CycleDriver        |  Cycle 318: time = 15.3366 d, dt = 1.09564 h
CycleDriver        |  New time = 15.3822 d
CycleDriver        |  
CycleDriver        |  Cycle 319: time = 15.3822 d, dt = 1.09564 h
CycleDriver        |  New time = 15.4279 d
CycleDriver        |  
CycleDriver        |  Cycle 320: time = 15.4279 d, dt = 1.36955 h
CycleDriver        |  New time = 15.4849 d
CycleDriver        |  
CycleDriver        |  Cycle 321: time = 15.4849 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.90327e+18 ||du_tmp0||=9935.93
CycleDriver        |  
CycleDriver        |  Cycle 321: time = 15.4849 d, dt = 1.09564 h
CycleDriver        |  New time = 15.5306 d
CycleDriver        |  
CycleDriver        |  Cycle 322: time = 15.5306 d, dt = 1.09564 h
CycleDriver        |  New time = 15.5762 d
CycleDriver        |  
CycleDriver        |  Cycle 323: time = 15.5762 d, dt = 1.36955 h
Solver::NKA        |   terminating due to overflow ||du||=2.17182e+12, ||du_prev||=1.29712e+07
CycleDriver        |  
CycleDriver        |  Cycle 323: time = 15.5762 d, dt = 1.09564 h
CycleDriver        |  New time = 15.6219 d
CycleDriver        |  
CycleDriver        |  Cycle 324: time = 15.6219 d, dt = 1.09564 h
CycleDriver        |  New time = 15.6675 d
CycleDriver        |  
CycleDriver        |  Cycle 325: time = 15.6675 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=4.34802e+14 ||du_tmp0||=13751.7
CycleDriver        |  
CycleDriver        |  Cycle 325: time = 15.6675 d, dt = 1.09564 h
CycleDriver        |  New time = 15.7132 d
CycleDriver        |  
CycleDriver        |  Cycle 326: time = 15.7132 d, dt = 1.09564 h
CycleDriver        |  New time = 15.7588 d
CycleDriver        |  
CycleDriver        |  Cycle 327: time = 15.7588 d, dt = 1.36955 h
CycleDriver        |  New time = 15.8159 d
CycleDriver        |  
CycleDriver        |  Cycle 328: time = 15.8159 d, dt = 1.36955 h
CycleDriver        |  New time = 15.873 d
CycleDriver        |  
CycleDriver        |  Cycle 329: time = 15.873 d, dt = 1.36955 h
CycleDriver        |  New time = 15.93 d
CycleDriver        |  
CycleDriver        |  Cycle 330: time = 15.93 d, dt = 1.36955 h
CycleDriver        |  New time = 15.9871 d
CycleDriver        |  
CycleDriver        |  Cycle 331: time = 15.9871 d, dt = 1.36955 h
CycleDriver        |  New time = 16.0442 d
CycleDriver        |  
CycleDriver        |  Cycle 332: time = 16.0442 d, dt = 1.36955 h
CycleDriver        |  New time = 16.1012 d
CycleDriver        |  
CycleDriver        |  Cycle 333: time = 16.1012 d, dt = 1.36955 h
CycleDriver        |  New time = 16.1583 d
CycleDriver        |  
CycleDriver        |  Cycle 334: time = 16.1583 d, dt = 1.36955 h
CycleDriver        |  New time = 16.2153 d
CycleDriver        |  
CycleDriver        |  Cycle 335: time = 16.2153 d, dt = 1.71194 h
CycleDriver        |  New time = 16.2867 d
CycleDriver        |  
CycleDriver        |  Cycle 336: time = 16.2867 d, dt = 2.13992 h
CycleDriver        |  New time = 16.3758 d
CycleDriver        |  
CycleDriver        |  Cycle 337: time = 16.3758 d, dt = 2.13992 h
CycleDriver        |  New time = 16.465 d
CycleDriver        |  
CycleDriver        |  Cycle 338: time = 16.465 d, dt = 2.13992 h
CycleDriver        |  New time = 16.5542 d
CycleDriver        |  
CycleDriver        |  Cycle 339: time = 16.5542 d, dt = 2.13992 h
CycleDriver        |  New time = 16.6433 d
CycleDriver        |  
CycleDriver        |  Cycle 340: time = 16.6433 d, dt = 2.6749 h
CycleDriver        |  New time = 16.7548 d
CycleDriver        |  
CycleDriver        |  Cycle 341: time = 16.7548 d, dt = 2.6749 h
CycleDriver        |  New time = 16.8662 d
CycleDriver        |  
CycleDriver        |  Cycle 342: time = 16.8662 d, dt = 3.34363 h
CycleDriver        |  New time = 17.0056 d
CycleDriver        |  
CycleDriver        |  Cycle 343: time = 17.0056 d, dt = 4.17954 h
CycleDriver        |  New time = 17.1797 d
CycleDriver        |  
CycleDriver        |  Cycle 344: time = 17.1797 d, dt = 0.217684 d
CycleDriver        |  New time = 17.3974 d
CycleDriver        |  
CycleDriver        |  Cycle 345: time = 17.3974 d, dt = 0.217684 d
CycleDriver        |  New time = 17.6151 d
CycleDriver        |  
CycleDriver        |  Cycle 346: time = 17.6151 d, dt = 0.272105 d
CycleDriver        |  New time = 17.8872 d
CycleDriver        |  
CycleDriver        |  Cycle 347: time = 17.8872 d, dt = 0.340131 d
CycleDriver        |  New time = 18.2273 d
CycleDriver        |  
CycleDriver        |  Cycle 348: time = 18.2273 d, dt = 0.425164 d
CycleDriver        |  New time = 18.6525 d
CycleDriver        |  
CycleDriver        |  Cycle 349: time = 18.6525 d, dt = 0.531455 d
CycleDriver        |  New time = 0.0525587 noleap
CycleDriver        |  
CycleDriver        |  Cycle 350: time = 0.0525587 noleap, dt = 0.664319 d
CycleDriver        |  New time = 0.0543788 noleap
CycleDriver        |  
CycleDriver        |  Cycle 351: time = 0.0543788 noleap, dt = 0.830399 d
CycleDriver        |  New time = 0.0566538 noleap
CycleDriver        |  
CycleDriver        |  Cycle 352: time = 0.0566538 noleap, dt = 1.038 d
CycleDriver        |  New time = 0.0594977 noleap
CycleDriver        |  
CycleDriver        |  Cycle 353: time = 0.0594977 noleap, dt = 1.2975 d
CycleDriver        |  New time = 0.0630525 noleap
CycleDriver        |  
CycleDriver        |  Cycle 354: time = 0.0630525 noleap, dt = 1.62187 d
CycleDriver        |  New time = 0.0674959 noleap
CycleDriver        |  
CycleDriver        |  Cycle 355: time = 0.0674959 noleap, dt = 2.02734 d
CycleDriver        |  New time = 0.0730503 noleap
CycleDriver        |  
CycleDriver        |  Cycle 356: time = 0.0730503 noleap, dt = 2.53418 d
CycleDriver        |  New time = 0.0799933 noleap
CycleDriver        |  
CycleDriver        |  Cycle 357: time = 0.0799933 noleap, dt = 3.16772 d
CycleDriver        |  New time = 0.0886719 noleap
CycleDriver        |  
CycleDriver        |  Cycle 358: time = 0.0886719 noleap, dt = 3.95965 d
CycleDriver        |  New time = 0.0995203 noleap
CycleDriver        |  
CycleDriver        |  Cycle 359: time = 0.0995203 noleap, dt = 4.94956 d
CycleDriver        |  New time = 0.113081 noleap
CycleDriver        |  
CycleDriver        |  Cycle 360: time = 0.113081 noleap, dt = 6.18696 d
CycleDriver        |  New time = 0.130031 noleap
CycleDriver        |  
CycleDriver        |  Cycle 361: time = 0.130031 noleap, dt = 7.73369 d
CycleDriver        |  New time = 0.15122 noleap
CycleDriver        |  
CycleDriver        |  Cycle 362: time = 0.15122 noleap, dt = 9.66712 d
CycleDriver        |  New time = 0.177705 noleap
CycleDriver        |  
CycleDriver        |  Cycle 363: time = 0.177705 noleap, dt = 12.0839 d
CycleDriver        |  New time = 0.210811 noleap
CycleDriver        |  
CycleDriver        |  Cycle 364: time = 0.210811 noleap, dt = 15.1049 d
CycleDriver        |  New time = 0.252195 noleap
CycleDriver        |  
CycleDriver        |  Cycle 365: time = 0.252195 noleap, dt = 18.8811 d
CycleDriver        |  New time = 0.303924 noleap
CycleDriver        |  
CycleDriver        |  Cycle 366: time = 0.303924 noleap, dt = 0.0646613 noleap
CycleDriver        |  New time = 0.368585 noleap
CycleDriver        |  
CycleDriver        |  Cycle 367: time = 0.368585 noleap, dt = 0.0808266 noleap
CycleDriver        |  New time = 0.449411 noleap
CycleDriver        |  
CycleDriver        |  Cycle 368: time = 0.449411 noleap, dt = 0.101033 noleap
CycleDriver        |  New time = 0.550445 noleap
CycleDriver        |  
CycleDriver        |  Cycle 369: time = 0.550445 noleap, dt = 0.126292 noleap
CycleDriver        |  New time = 0.676736 noleap
CycleDriver        |  
CycleDriver        |  Cycle 370: time = 0.676736 noleap, dt = 0.157864 noleap
CycleDriver        |  New time = 0.834601 noleap
CycleDriver        |  
CycleDriver        |  Cycle 371: time = 0.834601 noleap, dt = 0.197331 noleap
CycleDriver        |  New time = 1.03122 y
CycleDriver        |  
CycleDriver        |  Cycle 372: time = 1.03122 y, dt = 0.246663 noleap
CycleDriver        |  New time = 1.27772 y
CycleDriver        |  
CycleDriver        |  Cycle 373: time = 1.27772 y, dt = 0.308329 noleap
CycleDriver        |  New time = 1.58584 y
CycleDriver        |  
CycleDriver        |  Cycle 374: time = 1.58584 y, dt = 0.385411 noleap
CycleDriver        |  New time = 1.97098 y
CycleDriver        |  
CycleDriver        |  Cycle 375: time = 1.97098 y, dt = 0.481764 noleap
CycleDriver        |  New time = 2.45242 y
CycleDriver        |  
CycleDriver        |  Cycle 376: time = 2.45242 y, dt = 0.602205 noleap
CycleDriver        |  New time = 3.05421 y
CycleDriver        |  
CycleDriver        |  Cycle 377: time = 3.05421 y, dt = 0.752756 noleap
CycleDriver        |  New time = 3.80645 y
CycleDriver        |  
CycleDriver        |  Cycle 378: time = 3.80645 y, dt = 0.940945 noleap
CycleDriver        |  New time = 4.74675 y
CycleDriver        |  
CycleDriver        |  Cycle 379: time = 4.74675 y, dt = 1.17538 y
CycleDriver        |  New time = 5.92213 y
CycleDriver        |  
CycleDriver        |  Cycle 380: time = 5.92213 y, dt = 1.46922 y
CycleDriver        |  New time = 7.39135 y
CycleDriver        |  
CycleDriver        |  Cycle 381: time = 7.39135 y, dt = 1.83653 y
CycleDriver        |  New time = 9.22788 y
CycleDriver        |  
CycleDriver        |  Cycle 382: time = 9.22788 y, dt = 2.29566 y
CycleDriver        |  New time = 11.5235 y
CycleDriver        |  
CycleDriver        |  Cycle 383: time = 11.5235 y, dt = 2.86957 y
CycleDriver        |  New time = 14.3931 y
CycleDriver        |  
CycleDriver        |  Cycle 384: time = 14.3931 y, dt = 3.58696 y
CycleDriver        |  New time = 17.9801 y
CycleDriver        |  
CycleDriver        |  Cycle 385: time = 17.9801 y, dt = 4.48371 y
CycleDriver        |  New time = 22.4638 y
CycleDriver        |  
CycleDriver        |  Cycle 386: time = 22.4638 y, dt = 5.60463 y
CycleDriver        |  New time = 28.0684 y
CycleDriver        |  
CycleDriver        |  Cycle 387: time = 28.0684 y, dt = 7.00579 y
CycleDriver        |  New time = 35.0742 y
CycleDriver        |  
CycleDriver        |  Cycle 388: time = 35.0742 y, dt = 8.75724 y
CycleDriver        |  New time = 43.8314 y
CycleDriver        |  
CycleDriver        |  Cycle 389: time = 43.8314 y, dt = 10.9465 y
CycleDriver        |  New time = 54.778 y
CycleDriver        |  
CycleDriver        |  Cycle 390: time = 54.778 y, dt = 13.6832 y
CycleDriver        |  New time = 68.4612 y
CycleDriver        |  
CycleDriver        |  Cycle 391: time = 68.4612 y, dt = 17.104 y
CycleDriver        |  New time = 85.5651 y
CycleDriver        |  
CycleDriver        |  Cycle 392: time = 85.5651 y, dt = 21.38 y
CycleDriver        |  New time = 106.945 y
CycleDriver        |  
CycleDriver        |  Cycle 393: time = 106.945 y, dt = 26.725 y
CycleDriver        |  New time = 133.67 y
CycleDriver        |  
CycleDriver        |  Cycle 394: time = 133.67 y, dt = 33.4062 y
CycleDriver        |  New time = 167.076 y
CycleDriver        |  
CycleDriver        |  Cycle 395: time = 167.076 y, dt = 41.7578 y
CycleDriver        |  New time = 208.834 y
CycleDriver        |  
CycleDriver        |  Cycle 396: time = 208.834 y, dt = 52.1972 y
CycleDriver        |  New time = 261.031 y
CycleDriver        |  
CycleDriver        |  Cycle 397: time = 261.031 y, dt = 65.2465 y
CycleDriver        |  New time = 326.278 y
CycleDriver        |  
CycleDriver        |  Cycle 398: time = 326.278 y, dt = 81.5581 y
CycleDriver        |  New time = 407.836 y
CycleDriver        |  
CycleDriver        |  Cycle 399: time = 407.836 y, dt = 101.948 y
CycleDriver        |   writing visualization file: domain
CycleDriver        |  New time = 509.784 y
CycleDriver        |  
CycleDriver        |  Simulation end time: 3.15576e+11 sec.
CycleDriver        |  CPU time stamp: [00:00:12]
CycleDriver        |  
CycleDriver        |  Cycle 400: time = 509.784 y, dt = 127.435 y
CycleDriver        |  New time = 637.218 y
CycleDriver        |  
CycleDriver        |  Cycle 401: time = 637.218 y, dt = 159.293 y
CycleDriver        |  New time = 796.511 y
CycleDriver        |  
CycleDriver        |  Cycle 402: time = 796.511 y, dt = 199.117 y
CycleDriver        |  New time = 995.628 y
CycleDriver        |  
CycleDriver        |  Cycle 403: time = 995.628 y, dt = 248.896 y
CycleDriver        |  New time = 1244.52 y
CycleDriver        |  
CycleDriver        |  Cycle 404: time = 1244.52 y, dt = 311.12 y
CycleDriver        |  New time = 1555.64 y
CycleDriver        |  
CycleDriver        |  Cycle 405: time = 1555.64 y, dt = 388.899 y
CycleDriver        |  New time = 1944.54 y
CycleDriver        |  
CycleDriver        |  Cycle 406: time = 1944.54 y, dt = 486.124 y
CycleDriver        |  New time = 2430.67 y
CycleDriver        |  
CycleDriver        |  Cycle 407: time = 2430.67 y, dt = 607.655 y
